플랫폼,브랜드,품목,제목,가격,이미지URL,매물URL
번개장터,구찌,가방,구찌 GG 레드 레더 소호 체인 클러치백 크로스백 407041 가방,540000,https://media.bunjang.co.kr/product/415412787_1_1782991068_w{res}.jpg,https://m.bunjang.co.kr/products/415412787
번개장터,구찌,가방,GUCCI 구찌 정품 빈티지 유니크 여성가방 플로라 플라워 1961 재키백 호보백 숄더백 토트백 중고명품 25078,1199000,https://media.bunjang.co.kr/product/422286731_1_1785305996_w{res}.jpg,https://m.bunjang.co.kr/products/422286731
번개장터,구찌,가방,GUCCI 구찌 정품 여성가방 핑크 펄 GG 자가드 미니숄더백 파우치백 빈티지 청라 중고 명품 25086,349000,https://media.bunjang.co.kr/product/422288730_1_1785306875_w{res}.jpg,https://m.bunjang.co.kr/products/422288730
번개장터,구찌,가방,GUCCI 구찌 정품 여성가방 슈프림 GG 삼선 장판 미니 클러치백 파우치백 세컨백 빈티지 청라 중고 명품 25085,349000,https://media.bunjang.co.kr/product/422288542_1_1785306786_w{res}.jpg,https://m.bunjang.co.kr/products/422288542
번개장터,구찌,가방,GUCCI 구찌 정품 여성가방 블랙 페이던트 가죽 빅로고 미디움 쇼퍼백 숄더백 오피스백 빈티지 청라중고명품25102,499000,https://media.bunjang.co.kr/product/422526104_1_1785481611_w{res}.jpg,https://m.bunjang.co.kr/products/422526104
번개장터,구찌,가방,구찌 오피디아 GG 리스트릿 파우치 가방,480000,https://media.bunjang.co.kr/product/398837926_1_1775092161_w{res}.jpg,https://m.bunjang.co.kr/products/398837926
번개장터,구찌,가방,구찌 마몽트 숄더백 화이트 GUCCI White Leather Small Arli Crossbody Bag,380700,https://media.bunjang.co.kr/product/421240636_1_1784613781_w{res}.jpg,https://m.bunjang.co.kr/products/421240636
번개장터,구찌,가방,구찌 인터로킹 메신저백 숄더백 남성가방,730000,https://media.bunjang.co.kr/product/422682981_1_1785589669_w{res}.jpg,https://m.bunjang.co.kr/products/422682981
번개장터,구찌,가방,GUCCI 구찌 정품 여성가방 354224 디아망떼 탑핸들 토트백 숄더백 크로스백 박스백 스퀘어백 청라중고명품25071,349000,https://media.bunjang.co.kr/product/422276552_1_1785300525_w{res}.jpg,https://m.bunjang.co.kr/products/422276552
번개장터,구찌,가방,GUCCI 구찌 정품 여성가방 GG로고 자가드 스카프 토트백 숄더백 복조리 버킷백 호보백빈티지 청라중고명품 25115,449000,https://media.bunjang.co.kr/product/422540607_1_1785488139_w{res}.jpg,https://m.bunjang.co.kr/products/422540607
